INSTANCE_ID,IMAGE_ID,INSTANCE_TYPE,INSTANCE_LUNCH_TIME,AVAILABILITY_ZONE
i-0f18b4c6a71024ef2,ami-01eccbf80522b562b,t2.micro,2024-03-17 21:40:04+00:00,us-east-1d
i-08114ce247b6a229d,ami-01eccbf80522b562b,t2.micro,2024-03-17 21:40:04+00:00,us-east-1d
